id,text,Authors,Researcher Ids,ORCIDs,title,Volume,Issue,DOI,Document Type,Publication Date,Abstract,ISSN,eISSN,ISBN,Pages,Publisher,Proceedings title,Keywords,label,Comments
7202,"Title:Using Associate Constraint Network with Forward Evaluation to Overcome Cross-lingual Semantic Interoperability Challenge for Crime Information Extraction

 Information extraction is important for crime analysis. Due to the popularity of the Web, information related to crime and terrorism is available in multiple languages. As a result, cross-lingual semantic interoperability is essential when we extract information across multiple languages. In our previous work, we have developed several techniques to generate an automatic cross-lingual thesaurus to support cross-lingual information retrieval based on a parallel corpus collected from the Web. The techniques include Hopfield network and associate constraint network with backmarking. Although these techniques obtain satisfactory performance, they have weaknesses in efficiency, consistency, precision or recall. In this work, we develop a new searching technique, namely forward evaluation, on the basis of our previously developed associate constraint network model. We have conducted an experiment and show that the proposed forward evaluation technique outperforms both Hopfield network and associate constraint network with backmarking in terms of precision and recall. In addition, its efficiency is better than Hopfield network but is not as good as associate constraint network with backmarking.","Yang, Christopher C., Wei, Chih-Ping, Li, Kar Wing",,,Using Associate Constraint Network with Forward Evaluation to Overcome Cross-lingual Semantic Interoperability Challenge for Crime Information Extraction,,,10.1109/ICSMC.2006.384551 , ,2006,"Information extraction is important for crime analysis. Due to the popularity of the Web, information related to crime and terrorism is available in multiple languages. As a result, cross-lingual semantic interoperability is essential when we extract information across multiple languages. In our previous work, we have developed several techniques to generate an automatic cross-lingual thesaurus to support cross-lingual information retrieval based on a parallel corpus collected from the Web. The techniques include Hopfield network and associate constraint network with backmarking. Although these techniques obtain satisfactory performance, they have weaknesses in efficiency, consistency, precision or recall. In this work, we develop a new searching technique, namely forward evaluation, on the basis of our previously developed associate constraint network model. We have conducted an experiment and show that the proposed forward evaluation technique outperforms both Hopfield network and associate constraint network with backmarking in terms of precision and recall. In addition, its efficiency is better than Hopfield network but is not as good as associate constraint network with backmarking.",,,,, ,"  2006 IEEE International Conference on Systems, Man and Cybernetics",,out_but_toxicity,
7203,"Title:Detecting DDI Using Ontology: Drug Mechanism of Action

 Drug-drug interactions are generally harmful. This is usually manifested when the patient suffers from more than one disease for which drugs are prescribed and/or more than one drug is needed to be prescribed. The problem is made worse by the wide range of available drugs and the complexity which characterizes the variety of possible interactions or adverse effects. Determining potential drug-drug interactions (DDIs) is essential in any drug prescription. However, this process is not easy taking into consideration that medical and clinical data is continually increasing. Formal representation of the underlying knowledge is needed to provide comprehensive study of potential DDI. The ultimate aim of this work is to develop and use ontology for identifying DDI. DDI effects were classified into three types: toxic reaction, reduction effect or synergism effect. In this paper, the mechanism of action of drugs was considered to describe the proven general properties and action of drugs. Three scenarios were created to show the ability of description Logic (DL) reasoner of the proposed ontology to provide a proper classification of the DDI effects. In another words, describing the characteristics of any class will enable the DL reasoner to automatically recognize any individual that is an instance of this class. The study shows an efficient classification based on the defined ontology. The study relies on five dug families: Angiotensin-converting enzyme (ACE) inhibitors, Angiotensin II receptor blockers (ARBs), Beta blockers, Broad-spectrum penicillin's and Nonsteroidal anti-inflammatory drugs (NSAIDs).","Alhaj, Fatima, Qutishat, Duha, Harahsheh, Heba Al., Obeid, Nadim, Hammo, Bassam",,,Detecting DDI Using Ontology: Drug Mechanism of Action,,,10.1109/JEEIT.2019.8717527 , ,2019,"Drug-drug interactions are generally harmful. This is usually manifested when the patient suffers from more than one disease for which drugs are prescribed and/or more than one drug is needed to be prescribed. The problem is made worse by the wide range of available drugs and the complexity which characterizes the variety of possible interactions or adverse effects. Determining potential drug-drug interactions (DDIs) is essential in any drug prescription. However, this process is not easy taking into consideration that medical and clinical data is continually increasing. Formal representation of the underlying knowledge is needed to provide comprehensive study of potential DDI. The ultimate aim of this work is to develop and use ontology for identifying DDI. DDI effects were classified into three types: toxic reaction, reduction effect or synergism effect. In this paper, the mechanism of action of drugs was considered to describe the proven general properties and action of drugs. Three scenarios were created to show the ability of description Logic (DL) reasoner of the proposed ontology to provide a proper classification of the DDI effects. In another words, describing the characteristics of any class will enable the DL reasoner to automatically recognize any individual that is an instance of this class. The study shows an efficient classification based on the defined ontology. The study relies on five dug families: Angiotensin-converting enzyme (ACE) inhibitors, Angiotensin II receptor blockers (ARBs), Beta blockers, Broad-spectrum penicillin's and Nonsteroidal anti-inflammatory drugs (NSAIDs).",,,,, ,  2019 IEEE Jordan International Joint Conference on Electrical Engineering and Information Technology (JEEIT),,out_of_scope,
7204,"Title:MTTM: Metamorphic Testing for Textual Content Moderation Software

 The exponential growth of social media platforms such as Twitter and Facebook has revolutionized textual communication and textual content publication in human society. However, they have been increasingly exploited to propagate toxic content, such as hate speech, malicious advertisement, and pornography, which can lead to highly negative impacts (e.g., harmful effects on teen mental health). Researchers and practitioners have been enthusiastically developing and extensively deploying textual content moderation software to address this problem. However, we find that malicious users can evade moderation by changing only a few words in the toxic content. Moreover, modern content moderation software's performance against malicious inputs remains underexplored. To this end, we propose MTTM, a Metamorphic Testing framework for Textual content Moderation software. Specifically, we conduct a pilot study on 2, 000 text messages collected from real users and summarize eleven metamorphic relations across three perturbation levels: character, word, and sentence. MTTM employs these metamorphic relations on toxic textual contents to generate test cases, which are still toxic yet likely to evade moderation. In our evaluation, we employ MTTM to test three commercial textual content moderation software and two state-of-the-art moderation algorithms against three kinds of toxic content. The results show that MTTM achieves up to 83.9%, 51%, and 82.5% error finding rates (EFR) when testing commercial moderation software provided by Google, Baidu, and Huawei, respectively, and it obtains up to 91.2% EFR when testing the state-of-the-art algorithms from the academy. In addition, we leverage the test cases generated by MTTM to retrain the model we explored, which largely improves model robustness 0% ~ 5.9% EFR) while maintaining the accuracy on the original test set. A demo can be found in this link1.","Wang, Wenxuan, Huang, Jen-tse, Wu, Weibin, Zhang, Jianping, Huang, Yizhan, Li, Shuqing, He, Pinjia, Lyu, Michael R.",,,MTTM: Metamorphic Testing for Textual Content Moderation Software,,,10.1109/ICSE48619.2023.00200 , ,2023,"The exponential growth of social media platforms such as Twitter and Facebook has revolutionized textual communication and textual content publication in human society. However, they have been increasingly exploited to propagate toxic content, such as hate speech, malicious advertisement, and pornography, which can lead to highly negative impacts (e.g., harmful effects on teen mental health). Researchers and practitioners have been enthusiastically developing and extensively deploying textual content moderation software to address this problem. However, we find that malicious users can evade moderation by changing only a few words in the toxic content. Moreover, modern content moderation software's performance against malicious inputs remains underexplored. To this end, we propose MTTM, a Metamorphic Testing framework for Textual content Moderation software. Specifically, we conduct a pilot study on 2, 000 text messages collected from real users and summarize eleven metamorphic relations across three perturbation levels: character, word, and sentence. MTTM employs these metamorphic relations on toxic textual contents to generate test cases, which are still toxic yet likely to evade moderation. In our evaluation, we employ MTTM to test three commercial textual content moderation software and two state-of-the-art moderation algorithms against three kinds of toxic content. The results show that MTTM achieves up to 83.9%, 51%, and 82.5% error finding rates (EFR) when testing commercial moderation software provided by Google, Baidu, and Huawei, respectively, and it obtains up to 91.2% EFR when testing the state-of-the-art algorithms from the academy. In addition, we leverage the test cases generated by MTTM to retrain the model we explored, which largely improves model robustness 0% ~ 5.9% EFR) while maintaining the accuracy on the original test set. A demo can be found in this link1.",,,,, ,  2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),,detection#methodology,
7205,"Title:Basic system for automatic control of whiteboard erasure, through Processing and Arduino interface

 The basic system for acrylic whiteboard erasure by means of control interface with Processing and Arduino, is controlled by a computer. Within it there is a program developed in Processing that allows us to select the deletion option, that is, the selection of the upper middle, lower middle, middle left side, middle right side, and the entire whiteboard. The system consists of an intelligent head based on dc motors, which receives commands from the computer to perform the actions described above. With this system we avoid the contamination of the user with toxic substances released from the marker and we obtain greater speed and efficiency in the erasure of the whiteboard.","Márquez, Carlos Sánchez",,,"Basic system for automatic control of whiteboard erasure, through Processing and Arduino interface",,,10.1109/EIRCON52903.2021.9613394 , ,2021,"The basic system for acrylic whiteboard erasure by means of control interface with Processing and Arduino, is controlled by a computer. Within it there is a program developed in Processing that allows us to select the deletion option, that is, the selection of the upper middle, lower middle, middle left side, middle right side, and the entire whiteboard. The system consists of an intelligent head based on dc motors, which receives commands from the computer to perform the actions described above. With this system we avoid the contamination of the user with toxic substances released from the marker and we obtain greater speed and efficiency in the erasure of the whiteboard.",,,,, ,  2021 IEEE Engineering International Research Conference (EIRCON),,out_of_scope,
7206,"Title:Pharmacovigilance study of opioid drugs on Twitter and PubMed using artificial intelligence

 Increased usage and under reporting of adverse drug reactions (ADRs) of opioids instigates us to explore some other data sources like Twitter and PubMed. Our paper aims at discovering illegal trafficking of opioids as well as distinguishing tweets from having ADRs or not using binary classifier. We also evaluated the performance of MetaMap in finding ADRs from Twitter and compared the MedDRA encoding system on ADR terms found from tweets and PubMed. We used Latent Dirichlet Allocation (LDA) to find tweets related to illicit sale and used several neural networks for binary classification. It was reported that out of 98 ADRs found from tweets, 50 could be mapped to Lowest Level Terms (LLTs) and 48 to (Preferred Terms) PTs where only 23 LLTs and 15 PTs were reported from PubMed. Among the binary classifier Convolutional Recurrent Neural Network (CRNN) were found to be more promising with. 71 F1 score though other models are close to the best one with little margin. Effect of skewness was also monitored in our study. Social media is a good choice for mining pharmacovigilance but during extraction a lot more noise data may come which needs to be avoided.","Rifat, Md Jamiur Rahman, Noori, Sheak Rashed Haider, Hasan, Md Rashedul",,,Pharmacovigilance study of opioid drugs on Twitter and PubMed using artificial intelligence,,,10.1109/ICCCNT45670.2019.8944668 , ,2019,"Increased usage and under reporting of adverse drug reactions (ADRs) of opioids instigates us to explore some other data sources like Twitter and PubMed. Our paper aims at discovering illegal trafficking of opioids as well as distinguishing tweets from having ADRs or not using binary classifier. We also evaluated the performance of MetaMap in finding ADRs from Twitter and compared the MedDRA encoding system on ADR terms found from tweets and PubMed. We used Latent Dirichlet Allocation (LDA) to find tweets related to illicit sale and used several neural networks for binary classification. It was reported that out of 98 ADRs found from tweets, 50 could be mapped to Lowest Level Terms (LLTs) and 48 to (Preferred Terms) PTs where only 23 LLTs and 15 PTs were reported from PubMed. Among the binary classifier Convolutional Recurrent Neural Network (CRNN) were found to be more promising with. 71 F1 score though other models are close to the best one with little margin. Effect of skewness was also monitored in our study. Social media is a good choice for mining pharmacovigilance but during extraction a lot more noise data may come which needs to be avoided.",,,,, ,"  2019 10th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",,out_of_scope,
7207,"Title:Evolutionary technique to elementary coding of the internal states of the state machine

 During design of the modern complex systems today more attention is paid to the reliability aspect. The traditional approach, which is based on redundancy techniques, is not always acceptable, because as a result the complexity and total cost of the developed project will increase. Therefore the development of alternative approaches to increase the reliability of the designed systems is the actual task. One of such approaches id to increase the reliability parameter of the designed digital device (DD) during synthesis of digital automates which is elementary coding of internal states of DD. But it has the combinatorial nature of the calculations and it is hardly possible to use existing tools in the situation of big value of the operational word width. In this paper the evolutionary approach to elementary coding of internal states of the state machine, which describes the functionality of the designed DD has been considered.","Vasiltsov, I.V.",,,Evolutionary technique to elementary coding of the internal states of the state machine,,,10.1109/EH.2002.1029867 , ,2002,"During design of the modern complex systems today more attention is paid to the reliability aspect. The traditional approach, which is based on redundancy techniques, is not always acceptable, because as a result the complexity and total cost of the developed project will increase. Therefore the development of alternative approaches to increase the reliability of the designed systems is the actual task. One of such approaches id to increase the reliability parameter of the designed digital device (DD) during synthesis of digital automates which is elementary coding of internal states of DD. But it has the combinatorial nature of the calculations and it is hardly possible to use existing tools in the situation of big value of the operational word width. In this paper the evolutionary approach to elementary coding of internal states of the state machine, which describes the functionality of the designed DD has been considered.",,,,, ,  Proceedings 2002 NASA/DoD Conference on Evolvable Hardware,,out_of_scope,
7208,"Title:Cloud-based Mobile and Web application to support managing the treatment of Tuberculosis

 The nature of tuberculosis, a serious chronic disease, requires regular, continuous drug-based treatment, periodic diagnostic monitoring for serious side effects on liver function and proper supportive dietary nutrition. The app is developed to be very simple and explicit for patients to feed their data and the web interface is to optimize doctor's time in following up on the treatment of the case. Use of the app is expected to solve problems related to the administration of TB treatment, like migration, infectiveness for health and care providers etc.","Goel, Mridula, Dixit, Tanmay, Srivastava, Priyesh, Reghunath, Rajath, Hariram, R",,,Cloud-based Mobile and Web application to support managing the treatment of Tuberculosis,,,10.1109/COMSNETS48256.2020.9027426 , ,2020,"The nature of tuberculosis, a serious chronic disease, requires regular, continuous drug-based treatment, periodic diagnostic monitoring for serious side effects on liver function and proper supportive dietary nutrition. The app is developed to be very simple and explicit for patients to feed their data and the web interface is to optimize doctor's time in following up on the treatment of the case. Use of the app is expected to solve problems related to the administration of TB treatment, like migration, infectiveness for health and care providers etc.",,,,, ,  2020 International Conference on COMmunication Systems & NETworkS (COMSNETS),,out_of_scope,
7209,"Title:Understanding Citizens’ Emotional Pulse in a Smart City Using Artificial Intelligence

 Over the past decade, smart city applications have gained significant attention in industrial informatics. However, little attention has been given to perceiving the emotions and perceptions of citizens who have a direct impact on smart city initiatives. In this article, we propose the use of publicly available abundant social media conversations that contain contextual information encompassing citizens' emotions and perceptions, which could be considered to provide the means to feel the “emotional pulse” of a city. We propose an automated AI-based observation framework to detect the emergence of public emotions and negativity in conversations. We evaluated the applicability of the framework using 29 928 social media conversations toward the much-debated topic of self-driving vehicles which will become increasingly relevant to smart cities. The patterns and transitions of citizens' collective emotions were modeled using the Natural Language Processing and Markov models while the negativity (toxicity) in conversations was evaluated using a deep learning based classifier. The framework could be adopted by industry leaders and government officials for smart observation of citizen opinions to improve security, communication, and policymaking.","Adikari, Achini, Alahakoon, Damminda",,,Understanding Citizens’ Emotional Pulse in a Smart City Using Artificial Intelligence,,,10.1109/TII.2020.3009277 , ,2021,"Over the past decade, smart city applications have gained significant attention in industrial informatics. However, little attention has been given to perceiving the emotions and perceptions of citizens who have a direct impact on smart city initiatives. In this article, we propose the use of publicly available abundant social media conversations that contain contextual information encompassing citizens' emotions and perceptions, which could be considered to provide the means to feel the “emotional pulse” of a city. We propose an automated AI-based observation framework to detect the emergence of public emotions and negativity in conversations. We evaluated the applicability of the framework using 29 928 social media conversations toward the much-debated topic of self-driving vehicles which will become increasingly relevant to smart cities. The patterns and transitions of citizens' collective emotions were modeled using the Natural Language Processing and Markov models while the negativity (toxicity) in conversations was evaluated using a deep learning based classifier. The framework could be adopted by industry leaders and government officials for smart observation of citizen opinions to improve security, communication, and policymaking.",,,,, ,  ,,out_but_toxicity,
7210,"Title:An Initial Feasibility Study to Identify Loneliness Among Mental Health Patients from Clinical Notes

 There is increasing evidence that better health outcomes for patients can be achieved with improvement in mental health. Loneliness, one such condition, is itself toxic consequently driving increase in both chronic disease morbidity and mortality. Thus, the early identification of loneliness and interventions to address it are of urgent importance. One potential mechanism for identifying loneliness rests in analyzing care provider notes which include details regarding a provider's interaction with patients and often provide insights about both mental and physical health. To automatically determine which patients are suffering from loneliness, a data science analysis based on natural language processing techniques was performed on clinical notes from 12 care providers for 128 patients. The analysis techniques included co-occurrence of uni-gram, bi-gram, tri-gram and quad-gram words; sentiment analysis using AFINN sentiment lexicon scores; and word usage frequencies. The results surfaced key challenges associated with determining the presence of loneliness suggested the importance of including validated clinical questionnaires specifically designed for identifying loneliness.","Bearse, Peter, Manejwala, Omar, Mohammad, Atif Farid, Haque, Intisar Rizwan I",,,An Initial Feasibility Study to Identify Loneliness Among Mental Health Patients from Clinical Notes,,,10.1109/ICICT50521.2020.00019 , ,2020,"There is increasing evidence that better health outcomes for patients can be achieved with improvement in mental health. Loneliness, one such condition, is itself toxic consequently driving increase in both chronic disease morbidity and mortality. Thus, the early identification of loneliness and interventions to address it are of urgent importance. One potential mechanism for identifying loneliness rests in analyzing care provider notes which include details regarding a provider's interaction with patients and often provide insights about both mental and physical health. To automatically determine which patients are suffering from loneliness, a data science analysis based on natural language processing techniques was performed on clinical notes from 12 care providers for 128 patients. The analysis techniques included co-occurrence of uni-gram, bi-gram, tri-gram and quad-gram words; sentiment analysis using AFINN sentiment lexicon scores; and word usage frequencies. The results surfaced key challenges associated with determining the presence of loneliness suggested the importance of including validated clinical questionnaires specifically designed for identifying loneliness.",,,,, ,  2020 3rd International Conference on Information and Computer Technologies (ICICT),,out_of_scope,
7211,"Title:Toxicity Classification on Music Lyrics Using Machine Learning Algorithms

 Music lyrics have a broad scope of impacts on our day-to-day life. The connection between music and the cerebrum has been extensively studied as far as feeling and intellectual interaction. From school children to strict adherents, the audience has the right to taste great music. For example, men presented with physically rough verses tend to more generalized perspectives toward ladies. Listening to particularly toxic or nontoxic songs can affect our mood. Music recommendation system follows different features based on the user’s historical data. The listener’s mode could be improved if the recommendation system filters out toxicity. In this study, we classify lyrics in terms of toxicity and nontoxicity from different music genres and artists using machine learning (ML) algorithms. The toxicity and nontoxicity have been measured using high valence and low valence. From the results, we found that Random Forest (RF) is a much more effective toxicity classification classifier, giving an overall accuracy of 93%.","Siddique, Md Abdus Salam, Sarker, Md Imran, Ghosh, Robin, Gosh, Kamal",,,Toxicity Classification on Music Lyrics Using Machine Learning Algorithms,,,10.1109/ICCIT54785.2021.9689865 , ,2021,"Music lyrics have a broad scope of impacts on our day-to-day life. The connection between music and the cerebrum has been extensively studied as far as feeling and intellectual interaction. From school children to strict adherents, the audience has the right to taste great music. For example, men presented with physically rough verses tend to more generalized perspectives toward ladies. Listening to particularly toxic or nontoxic songs can affect our mood. Music recommendation system follows different features based on the user’s historical data. The listener’s mode could be improved if the recommendation system filters out toxicity. In this study, we classify lyrics in terms of toxicity and nontoxicity from different music genres and artists using machine learning (ML) algorithms. The toxicity and nontoxicity have been measured using high valence and low valence. From the results, we found that Random Forest (RF) is a much more effective toxicity classification classifier, giving an overall accuracy of 93%.",,,,, ,  2021 24th International Conference on Computer and Information Technology (ICCIT),,detection#methodology,
7212,"Title:ABSTRACT: COVID-19 Vaccination Dynamics in the US: A Follow-up Study

 Concerns regarding Coronavirus disease 2019 (COVID-19) disparities among the vulnerable populations have been studied widely and extend to vaccine allocation. With the current status of the pandemic, emergence of new variants, and recommendations toward the administration of third and fourth booster shots, understanding the population-level vaccine coverage status is critical for achieving equity in public health outcomes. In a previous population-level study focused on California counties, using the data from U.S. Census Bureau, Agency for Toxic Substances and Disease Registry (ATSDR), California Health & Human Services Agency (CHHS), and Centers for Disease Control and Prevention (CDC), we investigated the scope of vaccine inequity. In this research, we modeled the trends of vaccination using the Social Vulnerability Index (SVI) and its four components, including ""socioeconomic status,"" ""household composition and disability,"" ""minority status and language,"" and ""housing type and transportation."" Growth velocity and anticipated maximum proportion of the vaccinated population were modeled based on 9228 data points of daily vaccination numbers from December 15, 2020, to May 23, 2021, SVI, and its four themes. We reported that although vaccination coverage was significantly lower in high vulnerability counties, they are estimated to achieve a higher proportion of vaccinated individuals eventually, particularly based on SVI Theme 3, while predicting that disparities in vaccination rates decrease over time.","Salehi, Sana, Abedi, Aidin, Bruckhaus, Alexander, Duncan, Dominique",,,ABSTRACT: COVID-19 Vaccination Dynamics in the US: A Follow-up Study,,,10.1109/DCOSS54816.2022.00073 , ,2022,"Concerns regarding Coronavirus disease 2019 (COVID-19) disparities among the vulnerable populations have been studied widely and extend to vaccine allocation. With the current status of the pandemic, emergence of new variants, and recommendations toward the administration of third and fourth booster shots, understanding the population-level vaccine coverage status is critical for achieving equity in public health outcomes. In a previous population-level study focused on California counties, using the data from U.S. Census Bureau, Agency for Toxic Substances and Disease Registry (ATSDR), California Health & Human Services Agency (CHHS), and Centers for Disease Control and Prevention (CDC), we investigated the scope of vaccine inequity. In this research, we modeled the trends of vaccination using the Social Vulnerability Index (SVI) and its four components, including ""socioeconomic status,"" ""household composition and disability,"" ""minority status and language,"" and ""housing type and transportation."" Growth velocity and anticipated maximum proportion of the vaccinated population were modeled based on 9228 data points of daily vaccination numbers from December 15, 2020, to May 23, 2021, SVI, and its four themes. We reported that although vaccination coverage was significantly lower in high vulnerability counties, they are estimated to achieve a higher proportion of vaccinated individuals eventually, particularly based on SVI Theme 3, while predicting that disparities in vaccination rates decrease over time.",,,,, ,  2022 18th International Conference on Distributed Computing in Sensor Systems (DCOSS),,out_of_scope,
7213,"Title:Adversarial Text Generation for Google's Perspective API

 With the preponderance of harassment and abuse, social media platforms and online discussion platforms seek to curb toxic comments. Google's Perspective aims to help platforms classify toxic comments. We have created a pipeline to modify toxic comments to evade Perspective. This pipeline uses existing adversarial machine learning attacks to find the optimal perturbation which will evade the model. Since these attacks typically target images, as opposed to discrete text data, we include a process to generate text candidates from perturbed features and select candidates to retain syntactic similarity. We demonstrated that using a model with just 10,000 queries, changing three words in each comment evades Perspective 25% of the time, suggesting that building a surrogate model may not require many queries and a more robust approach is needed to improve the toxic comment classifier accuracy.","Jain, Edwin, Brown, Stephan, Chen, Jeffery, Neaton, Erin, Baidas, Mohammad, Dong, Ziqian, Gu, Huanying, Artan, Nabi Sertac",,,Adversarial Text Generation for Google's Perspective API,,,10.1109/CSCI46756.2018.00220 , ,2018,"With the preponderance of harassment and abuse, social media platforms and online discussion platforms seek to curb toxic comments. Google's Perspective aims to help platforms classify toxic comments. We have created a pipeline to modify toxic comments to evade Perspective. This pipeline uses existing adversarial machine learning attacks to find the optimal perturbation which will evade the model. Since these attacks typically target images, as opposed to discrete text data, we include a process to generate text candidates from perturbed features and select candidates to retain syntactic similarity. We demonstrated that using a model with just 10,000 queries, changing three words in each comment evades Perspective 25% of the time, suggesting that building a surrogate model may not require many queries and a more robust approach is needed to improve the toxic comment classifier accuracy.",,,,, ,  2018 International Conference on Computational Science and Computational Intelligence (CSCI),,detection#evaluation#methodology,
7214,"Title:Mitigating Technical and Architectural Debt with Sonargraph

 Sonargraph is a static analyzer with a focus on software architecture and metrics. The motivation to create Sonargraph came from the assumption that architectural debt (aka structural debt) is the most toxic form of technical debt. Repairing a broken architecture requires global and high-risk changes, while fixing other forms of technical debt mostly involves low-risk local changes. Therefore, the tool enables architects and developers to formally describe their architectural blueprint using a custom DSL (domain specific language). Once defined architectural rules can be checked and enforced in an automated way in all stages of the development process. This guarantees that a software system will never end up as the notorious ""big ball of mud"". Sonargraph currently supports Java, C#, C/C++ and Python and is used by hundreds of organizations worldwide.","von Zitzewitz, Alexander",,,Mitigating Technical and Architectural Debt with Sonargraph,,,10.1109/TechDebt.2019.00022 , ,2019,"Sonargraph is a static analyzer with a focus on software architecture and metrics. The motivation to create Sonargraph came from the assumption that architectural debt (aka structural debt) is the most toxic form of technical debt. Repairing a broken architecture requires global and high-risk changes, while fixing other forms of technical debt mostly involves low-risk local changes. Therefore, the tool enables architects and developers to formally describe their architectural blueprint using a custom DSL (domain specific language). Once defined architectural rules can be checked and enforced in an automated way in all stages of the development process. This guarantees that a software system will never end up as the notorious ""big ball of mud"". Sonargraph currently supports Java, C#, C/C++ and Python and is used by hundreds of organizations worldwide.",,,,, ,  2019 IEEE/ACM International Conference on Technical Debt (TechDebt),,out_of_scope,
7215,"Title:A New Smart Waste Managing System

 The continuous growth of the generated volumes of waste and garbage grasps the attention of researchers and experts in various fields. The collection and management process of this massive and distributed amount of waste presents a challenge, as it needs to be collected and processed as fast as possible. The accumulated amounts of waste can be a fundamental source for emitting poisonous gases and producing toxic material to the soil which leads to deadly consequences for the environment and causes serious health issues for humans so it is critical to collect it as fast as possible. To handle this scenario, this study proposed an online waste management system to monitor the status of generated trash all-around smart cities then distribute and schedule available garbage trucks accordingly. The proposed solution provides a web-based system and a mobile application to manage the organization of these wastes and facilitate the garbage collection by the drivers. The proposed solution provides an 80% faster convergence system in comparison with traditional garbage collecting method. The mobile application makes the waste pick up easier for the drivers and enable them to use better roads. Therefore, garbage collection costs and efforts have been saved, while less consumed energy is required.","Jabar, Hassan, Hassan, Rosilah, Sadeq, Abdulrahman Sameer",,,A New Smart Waste Managing System,,,10.1109/CSASE48920.2020.9142068 , ,2020,"The continuous growth of the generated volumes of waste and garbage grasps the attention of researchers and experts in various fields. The collection and management process of this massive and distributed amount of waste presents a challenge, as it needs to be collected and processed as fast as possible. The accumulated amounts of waste can be a fundamental source for emitting poisonous gases and producing toxic material to the soil which leads to deadly consequences for the environment and causes serious health issues for humans so it is critical to collect it as fast as possible. To handle this scenario, this study proposed an online waste management system to monitor the status of generated trash all-around smart cities then distribute and schedule available garbage trucks accordingly. The proposed solution provides a web-based system and a mobile application to manage the organization of these wastes and facilitate the garbage collection by the drivers. The proposed solution provides an 80% faster convergence system in comparison with traditional garbage collecting method. The mobile application makes the waste pick up easier for the drivers and enable them to use better roads. Therefore, garbage collection costs and efforts have been saved, while less consumed energy is required.",,,,, ,  2020 International Conference on Computer Science and Software Engineering (CSASE),,out_of_scope,
7216,"Title:Cutaneous Leishmaniasis: discovering new effective therapies using the Universal Immune System Simulator

 Cutaneous leishmaniasis (CL) is the most common form of leishmaniasis, an infectious disease caused by the Leishmania parasite and transmitted by phlebotomine sandflies. CL is manifested as skin lesions, which typically evolve to ulcerative lesions and may last for months or even years, if not treated. Currently available treatments against CL involve the use of particularly toxic and overpriced drugs, which, among other things, require long times of administration and do not always lead to the complete recovery of the patient. The use of in silico technologies, as the Universal Immune System Simulator (UISS), may be helpful in finding new and potentially more effective drugs against CL.","Nair, Nandu Chandran, Crispino, Elena, Maleki, Avisa, Salvatore, Valentina Di, Russo, Giulia, Gomez, Maria Adelaida, Pappalardo, Francesco",,,Cutaneous Leishmaniasis: discovering new effective therapies using the Universal Immune System Simulator,,,10.1109/BIBM55620.2022.9995655 , ,2022,"Cutaneous leishmaniasis (CL) is the most common form of leishmaniasis, an infectious disease caused by the Leishmania parasite and transmitted by phlebotomine sandflies. CL is manifested as skin lesions, which typically evolve to ulcerative lesions and may last for months or even years, if not treated. Currently available treatments against CL involve the use of particularly toxic and overpriced drugs, which, among other things, require long times of administration and do not always lead to the complete recovery of the patient. The use of in silico technologies, as the Universal Immune System Simulator (UISS), may be helpful in finding new and potentially more effective drugs against CL.",,,,, ,  2022 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,out_of_scope,
7217,"Title:Word Ambiguity Identification using POS Tagging in Automatic Essay Scoring

 Automatic Essay Scoring (AES) is one of the evaluations carried out by teachers to measure their students. AES is an interesting topic and looking for better accuracy. In AES, the test documents are the student’s answers, and the ground truth is the teacher or book answers. Essay answers from students can consist of one or more sentences. The formation of words in a sentence can affect the meaning of the sentence. In Indonesia, some words can have more than one meaning (polysemy), which can lead to ambiguity of meaning. One example of an Indonesian word with an ambiguous meaning is ‘bisa’. Based on Indonesia Dictionary (KBBI), it has three meanings (capable, toxic substance, and greeting shaman in the traditional ‘pingitan’ ceremony). This research attempts to overcome the ambiguity by integrating POS tagging into the text preprocessing phase before calculating the similarity between student answers and book answers using cosine similarity. The test results show that these approaches can produce an accuracy of up to 79%.","Husni, Rachman, Fika Hastarita, Suzanti, Ika Oktavia, Sari, Mareta Kurnia",,,Word Ambiguity Identification using POS Tagging in Automatic Essay Scoring,,,10.1109/ITIS57155.2022.10009034 , ,2022,"Automatic Essay Scoring (AES) is one of the evaluations carried out by teachers to measure their students. AES is an interesting topic and looking for better accuracy. In AES, the test documents are the student’s answers, and the ground truth is the teacher or book answers. Essay answers from students can consist of one or more sentences. The formation of words in a sentence can affect the meaning of the sentence. In Indonesia, some words can have more than one meaning (polysemy), which can lead to ambiguity of meaning. One example of an Indonesian word with an ambiguous meaning is ‘bisa’. Based on Indonesia Dictionary (KBBI), it has three meanings (capable, toxic substance, and greeting shaman in the traditional ‘pingitan’ ceremony). This research attempts to overcome the ambiguity by integrating POS tagging into the text preprocessing phase before calculating the similarity between student answers and book answers using cosine similarity. The test results show that these approaches can produce an accuracy of up to 79%.",,,,, ,  2022 IEEE 8th Information Technology International Seminar (ITIS),,out_but_toxicity,
